GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC02,HC02_EST_VC36
Id,Id2,Geography,Median income (dollars); Estimate; Households,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Male householder
8600000US02129,02129,ZCTA5 02129,89105,111458
8600000US02130,02130,ZCTA5 02130,74198,60455
8600000US02131,02131,ZCTA5 02131,61099,42000
8600000US02132,02132,ZCTA5 02132,82421,46938
8600000US02134,02134,ZCTA5 02134,37638,40909
8600000US02135,02135,ZCTA5 02135,50291,58654
8600000US02136,02136,ZCTA5 02136,57080,43467
8600000US02138,02138,ZCTA5 02138,73835,62259
8600000US02139,02139,ZCTA5 02139,70508,66508
8600000US02140,02140,ZCTA5 02140,73894,67996
8600000US02141,02141,ZCTA5 02141,63382,67917
8600000US02142,02142,ZCTA5 02142,89792,80714
8600000US02143,02143,ZCTA5 02143,66858,70000
8600000US02144,02144,ZCTA5 02144,74636,69464
8600000US02145,02145,ZCTA5 02145,53512,52250
8600000US02148,02148,ZCTA5 02148,54229,43298
8600000US02149,02149,ZCTA5 02149,49702,37508
8600000US02150,02150,ZCTA5 02150,43919,42515
8600000US02151,02151,ZCTA5 02151,49933,43484
8600000US02152,02152,ZCTA5 02152,62000,51427
8600000US02155,02155,ZCTA5 02155,72800,66044
8600000US02163,02163,ZCTA5 02163,43889,21360
8600000US02169,02169,ZCTA5 02169,58530,46302
8600000US02170,02170,ZCTA5 02170,62509,53094
8600000US02171,02171,ZCTA5 02171,66291,53810
8600000US02176,02176,ZCTA5 02176,86264,58271
8600000US02180,02180,ZCTA5 02180,72938,44896
8600000US02184,02184,ZCTA5 02184,85208,59000
8600000US02186,02186,ZCTA5 02186,107577,45192
8600000US02188,02188,ZCTA5 02188,64327,48468
8600000US02189,02189,ZCTA5 02189,63384,45691
8600000US02190,02190,ZCTA5 02190,78532,58830
8600000US02191,02191,ZCTA5 02191,65119,42250
8600000US02199,02199,ZCTA5 02199,107159,197656
8600000US02203,02203,ZCTA5 02203,-,-
8600000US02210,02210,ZCTA5 02210,111061,90161
8600000US02215,02215,ZCTA5 02215,30823,27468
8600000US02301,02301,ZCTA5 02301,45017,33696
8600000US02302,02302,ZCTA5 02302,61127,33805
