GEO.id,GEO.id2,GEO.display-label,HC02_EST_VC02,HC02_EST_VC10,HC02_EST_VC22,HC02_EST_VC30
Id,Id2,Geography,Median income (dollars); Estimate; Households,Median income (dollars); Estimate; Households - Two or more races,Median income (dollars); Estimate; FAMILIES - Families,Median income (dollars); Estimate; NONFAMILY HOUSEHOLDS - Nonfamily households
8600000US01430,01430,ZCTA5 01430,86219,-,105106,50524
8600000US01431,01431,ZCTA5 01431,89934,-,92589,51923
8600000US01432,01432,ZCTA5 01432,77462,73724,112625,56462
8600000US01434,01434,ZCTA5 01434,54318,-,101728,47288
8600000US01436,01436,ZCTA5 01436,77083,-,95048,19535
8600000US01438,01438,ZCTA5 01438,70028,-,70540,-
8600000US01440,01440,ZCTA5 01440,46410,14954,59007,32042
8600000US01450,01450,ZCTA5 01450,117500,-,133194,48199
8600000US01451,01451,ZCTA5 01451,140192,-,158065,67500
8600000US01452,01452,ZCTA5 01452,84803,-,94512,41471
8600000US01453,01453,ZCTA5 01453,56577,62578,71788,31077
8600000US01460,01460,ZCTA5 01460,108704,-,133625,47292
8600000US01462,01462,ZCTA5 01462,89706,-,104619,36083
8600000US01463,01463,ZCTA5 01463,84980,62841,97353,40307
8600000US01464,01464,ZCTA5 01464,68864,62326,79718,29417
8600000US01467,01467,ZCTA5 01467,131667,-,131667,-
8600000US01468,01468,ZCTA5 01468,62589,-,89510,35920
8600000US01469,01469,ZCTA5 01469,81317,-,97361,35365
8600000US01473,01473,ZCTA5 01473,96953,-,106273,73680
8600000US01474,01474,ZCTA5 01474,98221,-,133594,46905
8600000US01475,01475,ZCTA5 01475,61998,78472,80060,35536
8600000US01501,01501,ZCTA5 01501,71976,38047,90618,35378
8600000US01503,01503,ZCTA5 01503,97614,-,105089,48750
8600000US01504,01504,ZCTA5 01504,75544,-,93500,33903
8600000US01505,01505,ZCTA5 01505,93197,-,111622,41071
8600000US01506,01506,ZCTA5 01506,63906,-,71902,39688
8600000US01507,01507,ZCTA5 01507,92227,126389,103659,44406
8600000US01510,01510,ZCTA5 01510,60755,44306,78087,46563
8600000US01515,01515,ZCTA5 01515,80714,-,94545,36827
8600000US01516,01516,ZCTA5 01516,88958,141063,93730,48728
8600000US01518,01518,ZCTA5 01518,53664,-,94605,33947
8600000US01519,01519,ZCTA5 01519,114615,-,138690,50721
8600000US01520,01520,ZCTA5 01520,99575,100574,116681,52069
8600000US01521,01521,ZCTA5 01521,75658,-,83194,41346
8600000US01522,01522,ZCTA5 01522,102602,-,110245,71172
8600000US01523,01523,ZCTA5 01523,97958,-,104316,42200
8600000US01524,01524,ZCTA5 01524,60288,-,84107,30667
8600000US01525,01525,ZCTA5 01525,82361,-,-,-
8600000US01527,01527,ZCTA5 01527,72566,-,88622,31447
8600000US01529,01529,ZCTA5 01529,91250,-,106591,40156
8600000US01531,01531,ZCTA5 01531,81389,-,86875,61250
8600000US01532,01532,ZCTA5 01532,110147,152941,123876,56055
8600000US01534,01534,ZCTA5 01534,95238,-,113365,35469
8600000US01535,01535,ZCTA5 01535,70873,-,82154,36645
8600000US01536,01536,ZCTA5 01536,94766,103030,120417,37500
8600000US01537,01537,ZCTA5 01537,76114,-,87949,-
8600000US01540,01540,ZCTA5 01540,60852,-,84455,33289
8600000US01541,01541,ZCTA5 01541,121500,-,133967,50651
8600000US01542,01542,ZCTA5 01542,94103,-,98229,61103
8600000US01543,01543,ZCTA5 01543,95347,-,107533,43962
8600000US01545,01545,ZCTA5 01545,99441,114079,117384,50267
8600000US01550,01550,ZCTA5 01550,48762,55071,58067,32011
8600000US01560,01560,ZCTA5 01560,80078,-,108906,43450
8600000US01561,01561,ZCTA5 01561,-,-,-,-
8600000US01562,01562,ZCTA5 01562,65858,-,80466,23880
8600000US01564,01564,ZCTA5 01564,104187,-,131713,64479
8600000US01566,01566,ZCTA5 01566,98000,-,108288,65000
8600000US01568,01568,ZCTA5 01568,115348,-,133333,50096
8600000US01569,01569,ZCTA5 01569,90204,-,97500,47961
8600000US01570,01570,ZCTA5 01570,51229,-,60884,31020
8600000US01571,01571,ZCTA5 01571,62567,-,84274,31292
8600000US01581,01581,ZCTA5 01581,106915,"250,000+",130919,62052
8600000US01583,01583,ZCTA5 01583,74020,118281,92024,49226
8600000US01585,01585,ZCTA5 01585,61298,-,75483,32877
8600000US01588,01588,ZCTA5 01588,60429,-,76362,31746
8600000US01590,01590,ZCTA5 01590,99692,-,113578,72303
8600000US01602,01602,ZCTA5 01602,62709,51008,83857,40968
8600000US01603,01603,ZCTA5 01603,40967,61000,53231,26807
8600000US01604,01604,ZCTA5 01604,50426,-,58452,35482
8600000US01605,01605,ZCTA5 01605,35446,29809,42131,21841
8600000US01606,01606,ZCTA5 01606,65163,-,80152,45386
8600000US01607,01607,ZCTA5 01607,47068,-,66089,29199
8600000US01608,01608,ZCTA5 01608,18843,-,25823,12289
8600000US01609,01609,ZCTA5 01609,42863,33917,64871,23689
8600000US01610,01610,ZCTA5 01610,31182,20109,37227,18146
8600000US01611,01611,ZCTA5 01611,81971,-,92188,32361
8600000US01612,01612,ZCTA5 01612,94135,-,115139,47898
8600000US01701,01701,ZCTA5 01701,100788,-,117027,52292
8600000US01702,01702,ZCTA5 01702,51137,34556,62488,32824
8600000US01718,01718,ZCTA5 01718,131484,-,155357,-
8600000US01719,01719,ZCTA5 01719,103556,-,154205,51504
8600000US01720,01720,ZCTA5 01720,131413,114375,159129,51369
8600000US01721,01721,ZCTA5 01721,103700,151944,122210,52447
8600000US01730,01730,ZCTA5 01730,117688,-,146146,66987
8600000US01731,01731,ZCTA5 01731,84333,100694,83667,101250
8600000US01740,01740,ZCTA5 01740,151023,-,161417,66563
8600000US01741,01741,ZCTA5 01741,167400,-,195563,60030
8600000US01742,01742,ZCTA5 01742,137991,-,158247,63611
8600000US01745,01745,ZCTA5 01745,120766,-,121694,18594
8600000US01746,01746,ZCTA5 01746,110295,108250,127250,43359
8600000US01747,01747,ZCTA5 01747,99792,-,117964,52417
8600000US01748,01748,ZCTA5 01748,143190,102857,165790,48203
8600000US01749,01749,ZCTA5 01749,80574,38966,97233,46725
8600000US01752,01752,ZCTA5 01752,72222,41282,85563,46437
8600000US01754,01754,ZCTA5 01754,90134,-,115525,40882
8600000US01756,01756,ZCTA5 01756,121298,-,131473,40982
8600000US01757,01757,ZCTA5 01757,73117,66146,91019,45385
8600000US01760,01760,ZCTA5 01760,104600,104196,136193,52075
8600000US01770,01770,ZCTA5 01770,158250,-,168036,63125
8600000US01772,01772,ZCTA5 01772,147216,-,173618,48947
8600000US01773,01773,ZCTA5 01773,143505,-,183661,65700
8600000US01775,01775,ZCTA5 01775,146799,-,158807,44625
8600000US01776,01776,ZCTA5 01776,164013,-,176920,41604
8600000US01778,01778,ZCTA5 01778,157005,-,189934,44738
8600000US01801,01801,ZCTA5 01801,84479,-,100845,51408
8600000US01803,01803,ZCTA5 01803,92141,"250,000+",110517,60688
8600000US01810,01810,ZCTA5 01810,134627,154844,160794,53608
8600000US01821,01821,ZCTA5 01821,100158,92292,105767,54052
8600000US01824,01824,ZCTA5 01824,109638,142500,130830,48730
8600000US01826,01826,ZCTA5 01826,86884,-,94654,44958
8600000US01827,01827,ZCTA5 01827,118984,-,145045,56000
8600000US01830,01830,ZCTA5 01830,57917,-,71534,36556
8600000US01832,01832,ZCTA5 01832,63078,73750,74967,41542
8600000US01833,01833,ZCTA5 01833,106016,-,127212,46625
8600000US01834,01834,ZCTA5 01834,96512,-,98810,38723
8600000US01835,01835,ZCTA5 01835,71827,-,81699,48011
8600000US01840,01840,ZCTA5 01840,19855,40078,36326,11268
8600000US01841,01841,ZCTA5 01841,34636,46489,37057,19165
8600000US01843,01843,ZCTA5 01843,42707,65652,43395,37145
8600000US01844,01844,ZCTA5 01844,72664,80667,87373,35333
8600000US01845,01845,ZCTA5 01845,102008,-,129578,42148
8600000US01850,01850,ZCTA5 01850,42437,-,47054,24978
8600000US01851,01851,ZCTA5 01851,49583,-,55603,33413
8600000US01852,01852,ZCTA5 01852,50348,54500,61610,33151
8600000US01854,01854,ZCTA5 01854,40229,-,54640,19868
8600000US01860,01860,ZCTA5 01860,77481,-,115121,37009
8600000US01862,01862,ZCTA5 01862,102330,-,113016,45982
8600000US01863,01863,ZCTA5 01863,80538,-,103518,35000
8600000US01864,01864,ZCTA5 01864,119933,154464,142266,52302
8600000US01867,01867,ZCTA5 01867,110043,73648,134632,42490
8600000US01876,01876,ZCTA5 01876,93016,-,110512,41393
8600000US01879,01879,ZCTA5 01879,99325,-,119504,55933
8600000US01880,01880,ZCTA5 01880,92474,61528,114619,52155
8600000US01886,01886,ZCTA5 01886,130739,-,148775,56121
8600000US01887,01887,ZCTA5 01887,102301,125577,118375,55171
8600000US01890,01890,ZCTA5 01890,149321,-,182264,52431
8600000US01901,01901,ZCTA5 01901,21905,20556,29107,18971
8600000US01902,01902,ZCTA5 01902,39654,35508,46153,23527
8600000US01904,01904,ZCTA5 01904,86477,81111,96974,61133
8600000US01905,01905,ZCTA5 01905,55185,49464,60924,30752
8600000US01906,01906,ZCTA5 01906,78372,58958,92181,37722
8600000US01907,01907,ZCTA5 01907,103064,-,125966,47708
8600000US01908,01908,ZCTA5 01908,72625,-,129313,40625
8600000US01913,01913,ZCTA5 01913,75861,-,90997,54946
8600000US01915,01915,ZCTA5 01915,73839,19720,98151,39490
8600000US01921,01921,ZCTA5 01921,153578,-,166453,91450
8600000US01922,01922,ZCTA5 01922,86806,-,116853,50813
8600000US01923,01923,ZCTA5 01923,79913,-,100552,38867
8600000US01929,01929,ZCTA5 01929,103750,-,120774,51218
8600000US01930,01930,ZCTA5 01930,63917,69250,87667,32759
